
CAPPROD mensa                                                            capprod2         BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:31:17 18:34:28       17,22      17,22 SBT_TAPE                    3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          


se VMSAGITTARIUS                                                    cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:18:49 06:21:42         ,52       1,57 DISK                        3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
se VMSAGITTARIUS                                                    cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:18:38 06:18:40           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
se VMSAGITTARIUS                                                    cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:18:31 06:18:38         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
se VMSAGITTARIUS                                                    cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:18:26 06:18:31         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
se VMSAGITTARIUS                                                    cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:12 06:18:26        2,56      14,52 DISK                       18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               


não há linhas selecionadas


osasco ABNOSSRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:10:10 06:12:31         ,56       1,63 DISK                        2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
osasco ABNOSSRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:09:56 06:09:59           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
osasco ABNOSSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:09:54 06:09:56         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
osasco ABNOSSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:09:51 06:09:53         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
osasco ABNOSSRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:06 06:09:51        2,36      10,58 DISK                       10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           


itaquera vmegas.cnhsp.local                                               CNHPROD          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 22:10:37 22:11:12         ,14        ,44 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
